year,brand,ad_url,ad_time,category,gender,diversity
2011,Coca-Cola,https://superbowl-ads.com/2011-coca-cola-siege/,60,pop,male,FALSE
2016,Hynudai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-ryanville/,30,car,both,FALSE
2009,Doritos,https://superbowl-ads.com/2009-doritos-new-flavor-pitch/,30,snack,both,FALSE
2010,Doritos,https://superbowl-ads.com/hd-exclusive-doritos-samurai-2010-super-bowl-44-xliv-commercial-ad/,30,snack,male,FALSE
2015,Doritos,https://superbowl-ads.com/2015-doritos-middle-seat/,30,snack,both,FALSE
2007,Coca-Cola,https://superbowl-ads.com/2007-coca-cola-video-game/,60,pop,both,TRUE
2019,Toyota,https://superbowl-ads.com/2019-toyota-supra-wizard/,60,car,male,FALSE
2002,Budweiser,https://superbowl-ads.com/2002-budweiser-how-ya-doin/,30,beer,male,FALSE
2014,Coca-Cola,https://superbowl-ads.com/2014-coca-going-all-the-way/,60,pop,male,TRUE
2004,Budweiser,https://superbowl-ads.com/2004-budweiser-referee/,30,beer,both,TRUE
2016,Coca-Cola,https://superbowl-ads.com/coca-cola-mini-2016-super-bowl-50-ad-hulk-vs-ant-man/,60,pop,male,FALSE
2015,Budweiser,https://superbowl-ads.com/2015-budweiser-clydesdale-beer-run/,30,beer,male,FALSE
2016,Hynudai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-first-date/,60,car,both,TRUE
2001,Bud Light,https://superbowl-ads.com/2001-bud-light-pencil-pusher/,30,beer,both,FALSE
2003,Bud Light,https://superbowl-ads.com/2003-bud-light-strongman/,30,beer,both,FALSE
2000,Bud Light,https://superbowl-ads.com/2000-bud-light-hold-the-door/,30,beer,both,FALSE
2018,Coca-Cola,https://superbowl-ads.com/2018-coca-cola-super-bowl-ad-wonder-us/,60,pop,both,TRUE
2001,Pepsi,https://superbowl-ads.com/2001-pepsi-subway-miracle/,60,pop,both,TRUE
2014,Doritos,https://superbowl-ads.com/2014-doritos-cowboy-kid/,30,snack,both,FALSE
2016,Budweiser,https://superbowl-ads.com/budweiser-2016-super-bowl-50-ad-simply-put/,60,beer,female,TRUE
2004,Budweiser,https://superbowl-ads.com/2004-budweiser-donkey/,60,beer,male,FALSE
2015,Budweiser,https://superbowl-ads.com/budweiser-2015-super-bowl-xlix-ad-brewed-the-hard-way/,60,beer,male,FALSE
2016,Kia,https://superbowl-ads.com/kia-optima-2016-super-bowl-50-ad-walken-closet/,60,car,both,FALSE
2017,Budweiser,https://superbowl-ads.com/2017-budweiser-super-bowl-51-li-tv-commercial-born-hard-way/,60,beer,male,FALSE
2000,Budweiser,https://superbowl-ads.com/2000-budweiser-talking-dog/,30,beer,male,FALSE
2009,Coca-Cola,https://superbowl-ads.com/2009-coca-cola-heist/,60,pop,male,FALSE
2015,Doritos,https://superbowl-ads.com/doritos-2015-super-bowl-xlix-ad-when-pigs-fly/,30,snack,male,FALSE
2004,Toyota,https://superbowl-ads.com/2004-toyota-revenge/,30,car,female,FALSE
